PLZ,Ortsname,Ortsteil,Landkreis,Bundesland,location,geometry,address,latitude,longitude
81669,München,AuHaidhausenRamersdorf,Stadt München,Bayern,"Bayern, München, 81669",POINT (11.60093590869511 48.11978084182422),"Bezirksteil Ramersdorf, Ramersdorf-Perlach, München, Bayern, 81669, Deutschland",48.119780841824216,11.600935908695106
81671,München,Berg am LaimRamersdorf,Stadt München,Bayern,"Bayern, München, 81671",POINT (11.61801998890352 48.12224545688665),"Berg am Laim, München, Bayern, 81671, Deutschland",48.122245456886645,11.618019988903518
81673,München,Berg am Laim,Stadt München,Bayern,"Bayern, München, 81673",POINT (11.63305020754227 48.1288387835008),"Berg am Laim, München, Bayern, 81673, Deutschland",48.128838783500804,11.633050207542269
81675,München,BogenhausenHaidhausen,Stadt München,Bayern,"Bayern, München, 81675",POINT (11.60431276592914 48.13913581634071),"Bezirksteil Altbogenhausen, Bogenhausen, München, Bayern, 81675, Deutschland",48.13913581634071,11.604312765929135
81677,München,Berg am LaimBogenhausenHaidhausenTrudering,Stadt München,Bayern,"Bayern, München, 81677",POINT (11.6224348495275 48.140884374911),"Bezirksteil Parkstadt, Bogenhausen, München, Bayern, 81677, Deutschland",48.140884374910996,11.622434849527504
81679,München,Bogenhausen,Stadt München,Bayern,"Bayern, München, 81679",POINT (11.60937309674475 48.14834613156952),"Bezirksteil Altbogenhausen, Bogenhausen, München, Bayern, 81679, Deutschland",48.14834613156952,11.609373096744747
81735,München,Berg am LaimPerlachRamersdorfTrudering,Stadt München,Bayern,"Bayern, München, 81735",POINT (11.64005986248558 48.10841927271145),"Bezirksteil Neuperlach, Ramersdorf-Perlach, München, Bayern, 81735, Deutschland",48.10841927271145,11.64005986248558
81737,München,PerlachRamersdorf,Stadt München,Bayern,"Bayern, München, 81737",POINT (11.63249027670283 48.09911572018103),"Bezirksteil Altperlach, Ramersdorf-Perlach, München, Bayern, 81737, Deutschland",48.099115720181025,11.632490276702827
81739,München,PerlachRamersdorf-Perlach,Stadt München,Bayern,"Bayern, München, 81739",POINT (11.66174732524995 48.08541406026454),"Bezirksteil Waldperlach, Ramersdorf-Perlach, München, Bayern, 81739, Deutschland",48.08541406026454,11.661747325249952
81825,München,Berg am LaimTrudering,Stadt München,Bayern,"Bayern, München, 81825",POINT (11.66235198516305 48.1176170413267),"Trudering-Riem, München, Bayern, 81825, Deutschland",48.117617041326696,11.662351985163047
81827,München,PerlachTrudering,Stadt München,Bayern,"Bayern, München, 81827",POINT (11.69318069983174 48.10949828202912),"Trudering-Riem, München, Bayern, 81827, Deutschland",48.109498282029115,11.693180699831736
81829,München,Berg am LaimRiemTrudering,Stadt München,Bayern,"Bayern, München, 81829",POINT (11.67778579308607 48.13200491469078),"Trudering-Riem, München, Bayern, 81829, Deutschland",48.13200491469078,11.677785793086073
81925,München,Bogenhausen,Stadt München,Bayern,"Bayern, München, 81925",POINT (11.62170466765126 48.16173749888632),"Bezirksteil Herzogpark, Bogenhausen, München, Bayern, 81925, Deutschland",48.16173749888632,11.621704667651256
81927,München,Bogenhausen,Stadt München,Bayern,"Bayern, München, 81927",POINT (11.63747764384133 48.15746506922006),"Bezirksteil Englschalking, Bogenhausen, München, Bayern, 81927, Deutschland",48.15746506922006,11.63747764384133
81929,München,BogenhausenRiem,Stadt München,Bayern,"Bayern, München, 81929",POINT (11.65196914956102 48.15182630625232),"Bezirksteil Daglfing, Bogenhausen, München, Bayern, 81929, Deutschland",48.15182630625232,11.651969149561022
